¾®ºÅ	ºá×ø±êY	×Ý×ø±êX	²¹ÐÄº£°Î
LFLN17-1	20563828.50 	4140430.10 	15.00 
LFLN17-5	20563765.10 	4140757.80 	16.20 
LFLN17-13	20563798.70 	4141103.60 	15.60 
LFLN17-23	20563834.20 	4141432.40 	14.65 
LFLN17-25	20564192.60 	4141453.10 	16.20 
LFLN17-37	20564436.60 	4141701.20 	15.00 
LFLN17-33	20563458.70 	4141771.00 	14.90 
LFLN17-19	20563007.80 	4141407.70 	14.90 
LFLN17-3	20563425.50 	4140776.20 	14.80 
LFLN17-15	20564042.10 	4141038.20 	16.20 
LFLN17-17	20564336.40 	4140927.40 	16.20 
LFLN17-21	20563371.90 	4141400.60 	14.90 
LFLN17-45	20564207.80 	4142125.90 	14.80 
LFLN17-9	20562917.00 	4141045.90 	14.90 
