jh	xcm	X	Y	topDepth	bottomDepth	shaHou	yxhd	Por	Per	So
Ng-4-5	LFLN17-1	20563828.5	4140430.1	-1007.6	-1022.6	15.0	44.1	0.3	300.0	0.66
Ng-4-5	LFLN17-5	20563765.1	4140757.8	-1003.7	-1012.0	8.3	18.9	0.3	300.0	0.66
Ng-4-5	LFLN17-13	20563798.7	4141103.6	-1006.7	-1014.0	7.3	16.1	0.3	300.0	0.66
Ng-4-5	LFLN17-23	20563834.2	4141432.4	-1005.65	-1015.55	9.9	39.4	0.3	300.0	0.66
Ng-4-5	LFLN17-25	20564192.6	4141453.1	-1006.9	-1016.3	9.4	31.4	0.3	300.0	0.66
Ng-4-5	LFLN17-37	20564436.6	4141701.2	-1010.6	-1024.6	14.0	66.1	0.3	300.0	0.66
Ng-4-5	LFLN17-33	20563458.7	4141771.0	-1011.4	-1013.5	2.1	2.1	0.3	300.0	0.66
Ng-4-5	LFLN17-3	20563425.5	4140776.2	-1006.5	-1014.8	8.3	29.5	0.3	300.0	0.66
Ng-4-5	LFLN17-15	20564042.1	4141038.2	-1005.3	-1010.4	5.1	5.1	0.3	300.0	0.66
Ng-4-5	LFLN17-17	20564336.4	4140927.4	-1018.7	-1022.1	3.4	1.5	0.3	300.0	0.66
Ng-4-5	LFLN17-21	20563371.9	4141400.6	-1007.4	-1012.9	5.5	5.5	0.3	300.0	0.66
Ng-4-5	LFLN17-45	20564207.8	4142125.9	-1015.5	-1017.6	2.1	10.8	0.3	300.0	0.66
