井名	小层名	砂顶	砂底	砂厚	有效厚度	孔隙度	渗透率	油饱和度
L10-19	S1_1	975.7	976.3	0.6	0.6	0.3	7.00E+01	0.723
L10-19	S1_2	983.8	984.3	0.5	0	0.3	1.00E+00	0.723
L10-19	S1_3	988.8	989	0.2	0	0.3	1.00E+00	0.723
L10-19	S1_4+5	989.6	989.75	0.15	0.1	0.3	1.00E+00	0.723
L10-19	S1_4+5	989.75	989.9	0.15	0.1	0.3	1.00E+00	0.723
L10-19	S1_4+5	991.4	991.5	0.1	0	0.3	1.00E+00	0.723
L10-19	S1_4+5	991.5	991.6	0.1	0	0.3	1.00E+00	0.723
L10-19	S1_4+5	993.9	994.05	0.15	0.15	0.3	1.00E+00	0.723
L10-19	S1_4+5	994.05	994.2	0.15	0.15	0.3	1.00E+00	0.723
L10-19	S2_1+2	1008.2	1009.2	1	0.25	0.3	1.60E+02	0.723
L10-19	S2_2+3	1009.2	1010.2	1	0.25	0.3	1.60E+02	0.723
L10-19	S2_2+3	1015.2	1015.3	0.1	0	0.3	1.00E+00	0.723
L10-19	S2_2+3	1015.3	1015.4	0.1	0	0.3	1.00E+00	0.723
L10-19	S2_2+3	1016	1017.4	1.4	0.5	0.3	1.50E+02	0.723
L10-19	S2_2+3	1017.4	1018.8	1.4	0.5	0.3	1.50E+02	0.723
L10-19	S2_2+3	1021	1021.1	0.1	0	0.3	1.00E+00	0.723
L10-19	S2_2+3	1021.1	1021.2	0.1	0	0.3	1.00E+00	0.723
L10-19	S2_4	1021.8	1023	1.2	1.2	0.3	8.00E+01	0.723
L10-19	S2_4	1024.2	1024.4	0.2	0	0.3	1.00E+00	0.723
L10-19	S2_5+6	1026.5	1026.8	0.3	0.25	0.3	1.00E+02	0.723
L10-19	S2_5+6	1026.8	1027.1	0.3	0.25	0.3	1.00E+02	0.723
L10-19	S2_7+8	1028.4	1031.5	3.1	1.2	0.3	2.40E+02	0.723
L10-19	S2_7+8	1031.5	1034.6	3.1	1.2	0.3	2.40E+02	0.723
L10-19	S2_13+14	1049.5	1049.65	0.15	0.15	0.3	1.00E+00	0.723
L10-19	S2_13+14	1049.65	1049.8	0.15	0.15	0.3	1.00E+00	0.723
L10-19	S2_13+14	1050.2	1051.45	1.25	0.68	0.3	3.60E+02	0.723
L10-19	S2_13+14	1051.45	1052.7	1.25	0.68	0.3	3.60E+02	0.723
L10-19	S2_15+16	1052.7	1053.95	1.25	0.68	0.3	3.60E+02	0.723
L10-19	S2_15+16	1053.95	1055.2	1.25	0.68	0.3	3.60E+02	0.723
L10-19	S2_15+16	1057.6	1058.8	1.2	0.15	0.3	1.00E+00	0.723
L10-19	S2_15+16	1058.8	1060	1.2	0.15	0.3	1.00E+00	0.723
L10-19	S3_1+2	1065.1	1065.4	0.3	0	0.3	1.00E+00	0.723
L10-19	S3_1+2	1065.4	1065.7	0.3	0	0.3	1.00E+00	0.723
L10-19	S3_3	1066	1066.2	0.2	0	0.3	1.00E+00	0.723
L10-19	S3_3	1070.4	1070.6	0.2	0.2	0.3	1.00E+00	0.723
