井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）
sha37	B-K26	621	672	51	22.1	8.15
sha37	B-K27	672	723	51	23.5	6.2
sha37	B-K28	723	787	64	29.9	19.2
sha45	B-K26	849	898	49	16.8	1
sha45	B-K27	898	950	52	14.8	1.75
sha45	B-K28	950	1014	64	35.8	1.8
yd104	B-K26	645	696	51	26.1	0
yd104	B-K27	696	741	45	14.8	0
yd104	B-K28	741	808	67	29.6	0
yd107	B-K28	1004	1068	64	29.5	29.5
yshi1-1	B-K26	623	674	51	12.1	6.05
yshi1-1	B-K27	674	725	51	18.5	13.6
yshi1-1	B-K28	725	790	65	26.5	12.55
yshi1-2	B-K26	625	675	50	13.6	8.25
yshi1-2	B-K27	675	724	49	18.9	11.35
yshi1-2	B-K28	724	792	68	24.4	21.6
yshi1-3	B-K26	627	677	50	21.1	4.55
yshi1-3	B-K27	677	729	52	20.4	15.4
yshi1-3	B-K28	729	792	63	28	23.9
yshi1-4	B-K26	627	678	51	21.9	3.25
yshi1-4	B-K27	678	729	51	25.3	12.85
yshi1-4	B-K28	729	794	65	26.8	16.35
yshi4-1	B-K27	697	744	47	18.6	7.45
yshi4-1	B-K28	744	802	58	29.5	10.1
yshi4-2	B-K26	647	698	51	23.8	0.7
yshi4-2	B-K27	698	742	44	28.2	5.3
yshi4-2	B-K28	742	803	61	18.9	0
yshi4-3	B-K26	648	702	54	25.9	2.9
yshi4-3	B-K27	702	747	45	17.7	1
yshi4-3	B-K28	747	805	58	22.9	1
yshi5-1	B-K27	613	655	42	15.3	0
yshi5-1	B-K28	655	708	53	27.4	0
yshi6-1	B-K27	666	712	46	20	6.8
yshi6-1	B-K28	712	770	58	23.1	10.75
yshi8-1	B-K28	971	1040	69	29	26.85
yshi15-1	B-K28	934	998	64	34.2	34.2
yd114	B-K26	672	728	56	1.4	0
yd114	B-K27	728	780	52	23	0
yd114	B-K28	780	844	64	31.3	0
yd117	B-K26	846	908	62	20.8	18.8
yd117	B-K27	908	955	47	20.8	20.8
yd117	B-K28	955	1019	64	32.6	32.6
y5-8-A4	B-K26	827	866	39	15.8	2.4
y11-6-A6	B-K26	932	978	46	24.8	17.2
y11-6-A6	B-K27	978	1026	48	28.6	21.85
y11-6-A6	B-K28	1026	1079	53	24.4	3.7
y13-4-A6	B-K27	993	1040	47	18.2	2.95
y13-4-A6	B-K28	1040	1108	68	28.3	0
y7-6-A5	B-K26	839	901	62	27.3	21.7
y7-6-A5	B-K27	901	950	49	22.9	19.6
y7-6-A5	B-K28	950	1010	60	29.6	29.6
y45-2-B6	B-K26	647	699	52	8.6	0.85
y45-2-B6	B-K27	699	749	50	16.1	4.8
y45-2-B6	B-K28	749	815	66	20.5	2
y1-6-A5	B-K26	830	882	52	17.9	17.9
y1-6-A5	B-K27	882	926	44	19.1	19.1
y1-6-A5	B-K28	926	998	72	30.1	27.15
y3-4-A6	B-K26	860	906	46	20.3	13
y3-4-A6	B-K27	906	952	46	19.7	19
y3-4-A6	B-K28	952	1013	61	28.7	28.7
y9-2-B5	B-K28	1028	1063	35	13.3	4.35
y5-8-A3	B-K26	826	865	39	16.3	4.65
y7-6-A4	B-K26	841	904	63	23.8	19.95
y7-6-A4	B-K27	904	954	50	19.1	19.1
y7-6-A4	B-K28	954	1013	59	30.1	28.45
y1-6-A4	B-K26	830	882	52	17.6	15.05
y1-6-A4	B-K27	882	926	44	20.8	20.8
y1-6-A4	B-K28	926	996	70	29.2	27.05
y5-4-A6	B-K26	882	921	39	15	13.6
y5-4-A6	B-K27	921	971	50	20.1	13
y5-4-A6	B-K28	971	1035	64	33.9	26.9
y9-2-B4	B-K28	1034	1071	37	17.8	13.7
y7-6-A3	B-K26	841	905	64	23.3	19.15
y7-6-A3	B-K27	905	954	49	22.3	21.7
y7-6-A3	B-K28	954	1014	60	29.4	27.9
y9-4-A6	B-K28	1003	1067	64	36.8	29.6
y1-6-A3	B-K26	828	880	52	16.8	13.8
y1-6-A3	B-K27	880	925	45	19.8	19.8
y1-6-A3	B-K28	925	996	71	26.2	22.75
y3-4-A5	B-K26	856	905	49	20.4	9.5
y3-4-A5	B-K27	905	952	47	24.2	22.9
y3-4-A5	B-K28	952	1012	60	26.6	26.1
y9-2-B3	B-K28	1030	1065	35	15.3	10.55
y5-1-B5	B-K28	1023	1039	16	6.2	4.35
y7-6-B3	B-K26	842	905	63	23.7	19.85
y7-6-B3	B-K27	905	954	49	25	20.6
y7-6-B3	B-K28	954	1014	60	30.6	30.6
y5-4-A5	B-K27	923	971	48	19.1	11.1
y5-4-A5	B-K28	971	1036	65	33.5	24.6
y9-2-B2	B-K28	1034	1067	33	12.3	7.7
y5-1-B3	B-K28	1022	1036	14	5.9	2.25
y1-2-B4	B-K28	934	995	61	28	20.85
y1-6-B3	B-K26	830	879	49	16.9	16.9
y1-6-B3	B-K27	879	925	46	23	23
y1-6-B3	B-K28	925	996	71	32	26.85
y13-6-A5	B-K26	934	990	56	26.8	17.3
y13-6-A5	B-K27	990	1033	43	17.2	1.85
