井号	深度	方位角	井斜角
方4-斜3	660	0.002	0.002
方4-斜3	660.05	0.002	0.002
方4-斜3	660.1	0.002	0.002
方4-斜3	660.15	0.002	0.002
方4-斜3	660.2	0.002	0.002
方4-斜3	660.25	0.002	0.002
方4-斜3	660.3	0.002	0.002
方4-斜3	660.35	0.002	0.002
方4-斜3	660.4	0.002	0.002
方4-斜3	660.45	0.002	0.002
方4-斜3	660.5	0.002	0.002
方4-斜3	660.55	0.002	0.002
方4-斜3	660.6	0.002	0.002
方4-斜3	660.65	0.002	0.002
方4-斜3	660.7	0.002	0.002
方4-斜3	660.75	0.002	0.002
方4-斜3	660.8	0.002	0.002
方4-斜3	660.85	0.002	0.002
方4-斜3	660.9	0.002	0.002
方4-斜3	660.95	0.002	0.002
方4-斜3	661	0.002	0.002
方4-斜3	661.05	0.002	0.002
方4-斜3	661.1	0.002	0.002
方4-斜3	661.15	0.002	0.002
方4-斜3	661.2	0.002	0.002
方4-斜3	661.25	0.002	0.002
方4-斜3	661.3	0.002	0.002
方4-斜3	661.35	0.002	0.002
方4-斜3	661.4	0.002	0.002
方4-斜3	661.45	0.002	0.002
方4-斜3	661.5	0.002	0.002
方4-斜3	661.55	0.002	0.002
方4-斜3	661.6	0.002	0.002
方4-斜3	661.65	0.002	0.002
方4-斜3	661.7	0.002	0.002
方4-斜3	661.75	0.002	0.002
方4-斜3	661.8	0.002	0.002
方4-斜3	661.85	0.002	0.002
方4-斜3	661.9	0.002	0.002
方4-斜3	661.95	0.002	0.002
方4-斜3	662	0.002	0.002
方4-斜3	662.05	0.002	0.002
方4-斜3	662.1	0.002	0.002
方4-斜3	662.15	0.002	0.002
方4-斜3	662.2	0.002	0.002
方4-斜3	662.25	0.002	0.002
方4-斜3	662.3	0.002	0.002
方4-斜3	662.35	0.002	0.002
方4-斜3	662.4	0.002	0.002
方4-斜3	662.45	0.002	0.002
方4-斜3	662.5	0.002	0.002
方4-斜3	662.55	0.002	0.002
方4-斜3	662.6	0.002	0.002
方4-斜3	662.65	0.002	0.002
方4-斜3	662.7	0.002	0.002
方4-斜3	662.75	0.002	0.002
方4-斜3	662.8	0.002	0.002
方4-斜3	662.85	0.002	0.002
方4-斜3	662.9	0.002	0.002
方4-斜3	662.95	0.002	0.002
方4-斜3	663	0.002	0.002
方4-斜3	663.05	0.002	0.002
方4-斜3	663.1	0.002	0.002
方4-斜3	663.15	0.002	0.002
方4-斜3	663.2	0.002	0.002
方4-斜3	663.25	0.002	0.002
方4-斜3	663.3	0.002	0.002
方4-斜3	663.35	0.002	0.002
方4-斜3	663.4	0.002	0.002
方4-斜3	663.45	0.002	0.002
方4-斜3	663.5	0.002	0.002
方4-斜3	663.55	0.002	0.002
方4-斜3	663.6	0.002	0.002
方4-斜3	663.65	0.002	0.002
方4-斜3	663.7	0.002	0.002
方4-斜3	663.75	0.002	0.002
方4-斜3	663.8	0.002	0.002
方4-斜3	663.85	0.002	0.002
方4-斜3	663.9	0.002	0.002
方4-斜3	663.95	0.002	0.002
方4-斜3	664	0.002	0.002
方4-斜3	664.05	0.002	0.002
方4-斜3	664.1	0.002	0.002
方4-斜3	664.15	0.002	0.002
方4-斜3	664.2	0.002	0.002
方4-斜3	664.25	0.002	0.002
方4-斜3	664.3	0.002	0.002
方4-斜3	664.35	0.002	0.002
方4-斜3	664.4	0.002	0.002
方4-斜3	664.45	0.002	0.002
方4-斜3	664.5	0.002	0.002
方4-斜3	664.55	0.002	0.002
方4-斜3	664.6	0.002	0.002
方4-斜3	664.65	0.002	0.002
方4-斜3	664.7	0.002	0.002
方4-斜3	664.75	0.002	0.002
方4-斜3	664.8	0.002	0.002
方4-斜3	664.85	0.002	0.002
方4-斜3	664.9	0.002	0.002
方4-斜3	664.95	0.002	0.002
方4-斜3	665	0.002	0.002
方4-斜3	665.05	0.002	0.002
方4-斜3	665.1	0.002	0.002
方4-斜3	665.15	0.002	0.002
方4-斜3	665.2	0.002	0.002
方4-斜3	665.25	0.002	0.002
方4-斜3	665.3	0.002	0.002
方4-斜3	665.35	0.002	0.002
方4-斜3	665.4	0.002	0.002
方4-斜3	665.45	0.002	0.002
方4-斜3	665.5	0.002	0.002
方4-斜3	665.55	0.002	0.002
方4-斜3	665.6	0.002	0.002
方4-斜3	665.65	0.002	0.002
方4-斜3	665.7	0.002	0.002
方4-斜3	665.75	0.002	0.002
方4-斜3	665.8	0.002	0.002
方4-斜3	665.85	0.002	0.002
方4-斜3	665.9	0.002	0.002
方4-斜3	665.95	0.002	0.002
方4-斜3	666	0.002	0.002
方4-斜3	666.05	0.002	0.002
方4-斜3	666.1	0.002	0.002
方4-斜3	666.15	0.002	0.002
方4-斜3	666.2	0.002	0.002
方4-斜3	666.25	0.002	0.002
方4-斜3	666.3	0.002	0.002
方4-斜3	666.35	0.002	0.002
方4-斜3	666.4	0.002	0.002
方4-斜3	666.45	0.002	0.002
方4-斜3	666.5	0.002	0.002
方4-斜3	666.55	0.002	0.002
方4-斜3	666.6	0.002	0.002
方4-斜3	666.65	0.002	0.002
方4-斜3	666.7	0.002	0.002
方4-斜3	666.75	0.002	0.002
方4-斜3	666.8	0.002	0.002
方4-斜3	666.85	0.002	0.002
方4-斜3	666.9	0.002	0.002
方4-斜3	666.95	0.002	0.002
方4-斜3	667	0.002	0.002
方4-斜3	667.05	0.002	0.002
方4-斜3	667.1	0.002	0.002
方4-斜3	667.15	0.002	0.002
方4-斜3	667.2	0.002	0.002
方4-斜3	667.25	0.002	0.002
方4-斜3	667.3	0.002	0.002
方4-斜3	667.35	0.002	0.002
方4-斜3	667.4	0.002	0.002
方4-斜3	667.45	0.002	0.002
方4-斜3	667.5	0.002	0.002
方4-斜3	667.55	0.002	0.002
方4-斜3	667.6	0.002	0.002
方4-斜3	667.65	0.002	0.002
方4-斜3	667.7	0.002	0.002
方4-斜3	667.75	0.002	0.002
方4-斜3	667.8	0.002	0.002
方4-斜3	667.85	0.002	0.002
方4-斜3	667.9	0.002	0.002
方4-斜3	667.95	0.002	0.002
方4-斜3	668	0.002	0.002
方4-斜3	668.05	0.002	0.002
方4-斜3	668.1	0.002	0.002
方4-斜3	668.15	0.002	0.002
方4-斜3	668.2	0.002	0.002
方4-斜3	668.25	0.002	0.002
方4-斜3	668.3	0.002	0.002
方4-斜3	668.35	0.002	0.002
方4-斜3	668.4	0.002	0.002
方4-斜3	668.45	0.002	0.002
方4-斜3	668.5	0.002	0.002
方4-斜3	668.55	0.002	0.002
方4-斜3	668.6	0.002	0.002
方4-斜3	668.65	0.002	0.002
方4-斜3	668.7	0.002	0.002
方4-斜3	668.75	0.002	0.002
方4-斜3	668.8	0.002	0.002
方4-斜3	668.85	0.002	0.002
方4-斜3	668.9	0.002	0.002
方4-斜3	668.95	0.002	0.002
方4-斜3	669	0.002	0.002
方4-斜3	669.05	0.002	0.002
方4-斜3	669.1	0.002	0.002
方4-斜3	669.15	0.002	0.002
方4-斜3	669.2	0.002	0.002
方4-斜3	669.25	0.002	0.002
方4-斜3	669.3	0.002	0.002
方4-斜3	669.35	0.002	0.002
方4-斜3	669.4	0.002	0.002
方4-斜3	669.45	0.002	0.002
方4-斜3	669.5	0.002	0.002
方4-斜3	669.55	0.002	0.002
方4-斜3	669.6	0.002	0.002
方4-斜3	669.65	0.002	0.002
方4-斜3	669.7	0.002	0.002
方4-斜3	669.75	0.002	0.002
方4-斜3	669.8	0.002	0.002
方4-斜3	669.85	0.002	0.002
方4-斜3	669.9	0.002	0.002
方4-斜3	669.95	0.002	0.002
方4-斜3	670	222.133	0.568
方4-斜3	670.05	222.552	0.567
方4-斜3	670.1	222.974	0.566
方4-斜3	670.15	223.398	0.565
方4-斜3	670.2	223.825	0.564
方4-斜3	670.25	224.253	0.563
方4-斜3	670.3	224.684	0.562
方4-斜3	670.35	225.117	0.561
方4-斜3	670.4	225.552	0.56
方4-斜3	670.45	225.988	0.559
方4-斜3	670.5	226.426	0.558
方4-斜3	670.55	226.866	0.557
方4-斜3	670.6	227.307	0.556
方4-斜3	670.65	227.749	0.555
方4-斜3	670.7	228.192	0.554
方4-斜3	670.75	228.636	0.553
方4-斜3	670.8	229.081	0.552
方4-斜3	670.85	229.528	0.551
方4-斜3	670.9	229.974	0.55
方4-斜3	670.95	230.422	0.549
方4-斜3	671	230.87	0.548
方4-斜3	671.05	231.319	0.547
方4-斜3	671.1	231.768	0.546
方4-斜3	671.15	232.218	0.544
方4-斜3	671.2	232.667	0.543
方4-斜3	671.25	233.117	0.542
方4-斜3	671.3	233.568	0.541
方4-斜3	671.35	234.018	0.54
方4-斜3	671.4	234.468	0.539
方4-斜3	671.45	234.919	0.537
方4-斜3	671.5	235.369	0.536
方4-斜3	671.55	235.819	0.535
方4-斜3	671.6	236.269	0.534
方4-斜3	671.65	236.718	0.533
方4-斜3	671.7	237.167	0.531
方4-斜3	671.75	237.616	0.53
方4-斜3	671.8	238.064	0.529
方4-斜3	671.85	238.512	0.528
方4-斜3	671.9	238.959	0.526
方4-斜3	671.95	239.405	0.525
方4-斜3	672	239.851	0.524
方4-斜3	672.05	240.295	0.523
方4-斜3	672.1	240.739	0.521
方4-斜3	672.15	241.182	0.52
方4-斜3	672.2	241.623	0.519
方4-斜3	672.25	242.064	0.517
方4-斜3	672.3	242.503	0.516
方4-斜3	672.35	242.941	0.515
