ÅS∫≈	ÕÍ◊ÍæÆ…Ó	≤π–ƒ∫£∞Œ	∂œøÈ	µÿ≤„√˚≥∆	…∞≤„◊È	∂•…Ó	ÕÍ◊ÍæÆ…Ó
…∞37	1251	3010.95	B	N22	K26	621	672
…∞37	1251	3010.95	B	N22	K27	672	723
…∞37	1251	3010.95	B	N22	K28	723	787
…∞37	1251	3010.95	B	N22	K29	787	841
…∞37	1251	3010.95	B	N22	K210	841	902
…∞37	1251	3010.95	B	N22	K211	902	940
…∞37	1251	3010.95	B	N22	K212	940	996
…∞37	1251	3010.95	B	N21	K3	996	1055
…∞37	1251	3010.95	B	N21	K31	1055	1117
…∞37	1251	3010.95	B	N21	K32	1117	1173
…∞37	1251	3010.95	B	N21	K33	1173	1213
…∞37	1251	3010.95	B	N21	K34	1213	1251
…∞40	2010	3106.88	C	N22	K26	521	566
…∞40	2010	3106.88	C	N22	K27	566	613
…∞40	2010	3106.88	C	N22	K28	613	674
…∞40	2010	3106.88	C	N22	K29	674	725
…∞40	2010	3106.88	C	N22	K210	725	787
…∞40	2010	3106.88	C	N22	K211	787	825
…∞40	2010	3106.88	C	N22	K212	825	889
…∞40	2010	3106.88	C	N21	K3	889	942
…∞40	2010	3106.88	C	N21	K31	942	1006
…∞40	2010	3106.88	C	N21	K32	1006	1116
…∞40	2010	3106.88	B	N22	K211	1116	1147
…∞40	2010	3106.88	B	N22	K212	1147	1205
…∞40	2010	3106.88	B	N21	K3	1205	1261
…∞40	2010	3106.88	B	N21	K31	1261	1310
…∞40	2010	3106.88	B	N21	K32	1310	1358
…∞40	2010	3106.88	B	N21	K33	1358	1399
…∞40	2010	3106.88	B	N21	K34	1399	1444
…∞40	2010	3106.88	B	N21	K35	1444	1507
…∞40	2010	3106.88	B	N21	K36	1507	1574
…∞40	2010	3106.88	B	N21	K37	1574	1642
…∞40	2010	3106.88	B	N21	K4	1642	1705
…∞40	2010	3106.88	B	N21	K41	1705	1761
…∞40	2010	3106.88	B	N21	K42	1761	1822
…∞40	2010	3106.88	B	N21	K43	1822	1883
…∞40	2010	3106.88	A	N21	K42	1883	1950
…∞40	2010	3106.88	A	N21	K43	1950	2010
…∞45	3520	3006.85	B	N22	K25	774	849
…∞45	3520	3006.85	B	N22	K26	849	898
…∞45	3520	3006.85	B	N22	K27	898	950
…∞45	3520	3006.85	B	N22	K28	950	1014
…∞45	3520	3006.85	B	N22	K29	1014	1069
…∞45	3520	3006.85	B	N22	K210	1069	1139
…∞45	3520	3006.85	B	N22	K211	1139	1182
…∞45	3520	3006.85	B	N22	K212	1182	1241
…∞45	3520	3006.85	B	N21	K3	1241	1302
…∞45	3520	3006.85	B	N21	K31	1302	1358
…∞45	3520	3006.85	B	N21	K32	1358	1410
…∞45	3520	3006.85	B	N21	K33	1410	1460
…∞45	3520	3006.85	B	N21	K34	1460	1510
…∞45	3520	3006.85	B	N21	K35	1510	1577
…∞45	3520	3006.85	B	N21	K36	1577	1654
…∞45	3520	3006.85	B	N21	K37	1654	1738
…∞45	3520	3006.85	B	N21	K4	1738	1811
…∞45	3520	3006.85	B	N21	K41	1811	1858
…∞45	3520	3006.85	B	N21	K42	1858	1928
…∞45	3520	3006.85	B	N21	K43	1928	1987
…∞45	3520	3006.85	B	N21	K44	1987	2055
…∞45	3520	3006.85	B	N21	K45	2055	2165
…∞45	3520	3006.85	YX	N22	K211	2165	2216
…∞45	3520	3006.85	YX	N22	K212	2216	2287
…∞45	3520	3006.85	YX	N21	K3	2287	2361
…∞45	3520	3006.85	YX	N21	K31	2361	2420
…∞45	3520	3006.85	YX	N21	K32	2420	2473
…∞45	3520	3006.85	YX	N21	K33	2473	2546
…∞45	3520	3006.85	YX	N21	K34	2546	2596
…∞45	3520	3006.85	YX	N21	K35	2596	2665
…∞45	3520	3006.85	YX	N21	K36	2665	2740
…∞45	3520	3006.85	YX	N21	K37	2740	2822
…∞45	3520	3006.85	YX	N21	K4	2822	2893
…∞45	3520	3006.85	YX	N21	K41	2893	2946
…∞45	3520	3006.85	YX	N21	K42	2946	3006
…∞45	3520	3006.85	YX	N21	K43	3006	3061
…∞45	3520	3006.85	YX	N21	K44	3061	3132
…∞45	3520	3006.85	YX	N21	K45	3132	3220
…∞45	3520	3006.85	YX	N21	K46	3220	3306
…∞45	3520	3006.85	YX	N21	K47	3306	3382
…∞45	3520	3006.85	YX	N21	K48	3382	3453
…∞45	3520	3006.85	YX	N1	K5	3453	3520
”¢11-1-B5	1550	3136.66	C	N22	K27	603	652
”¢11-1-B5	1550	3136.66	C	N22	K28	652	715
”¢11-1-B5	1550	3136.66	C	N22	K29	715	769
”¢11-1-B5	1550	3136.66	C	N22	K210	769	827
”¢11-1-B5	1550	3136.66	C	N22	K211	827	866
”¢11-1-B5	1550	3136.66	C	N22	K212	866	931
”¢11-1-B5	1550	3136.66	C	N21	K3	931	989
”¢11-1-B5	1550	3136.66	C	N21	K31	989	1042
”¢11-1-B5	1550	3136.66	C	N21	K32	1042	1087
”¢11-1-B5	1550	3136.66	C	N21	K33	1087	1130
”¢11-1-B5	1550	3136.66	C	N21	K34	1130	1172
”¢11-1-B5	1550	3136.66	C	N21	K35	1172	1218
”¢11-1-B5	1550	3136.66	C	N22	K36	1218	1235
”¢11-1-B5	1550	3136.66	B	N21	K3	1235	1294
”¢11-1-B5	1550	3136.66	B	N21	K31	1294	1352
”¢11-1-B5	1550	3136.66	B	N21	K32	1352	1405
”¢11-1-B5	1550	3136.66	B	N21	K33	1405	1456
”¢11-1-B5	1550	3136.66	B	N21	K34	1456	1514
”¢11-1-B5	1550	3136.66	B	N21	K35	1514	1550
”¢11-1-B6	1760	3141.66	C	N22	K26	549	603
”¢11-1-B6	1760	3141.66	C	N22	K27	603	652
”¢11-1-B6	1760	3141.66	C	N22	K28	652	715
